confidence,comments,style,texts,p_id,feedback,consent,style_score,style_label,confidence_score,confidence_label
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",,"{'numeric': 3, 'label': 'Neutral'}","Hi guys, am new hia.....dnt knw wer to start from...is dis like facebook??",65654bb65a81489784483bf0,,I agree,3.0,Neutral,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 3, 'label': 'Moderately Confident. You felt reasonably sure of your judgment but had some doubts', 'full': '3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts'}",Emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}",BEING HONEST HAS BEEN MY PRIDE SINCE BIRTH...... HIT ME UP IF YOU CARES TO KNOW MORE ABOUT ME...... FEEL FREE.....!!!!!,65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,3.0,Moderately Confident. You felt reasonably sure of your judgment but had some doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Tiny bit emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}",Yepp Me Is Bored!_; ;SoOo If You Wanna Chat Then Leave Me A Msg Plz!_ ; ;Thank You Guys And Gurls!,65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",,"{'numeric': 3, 'label': 'Neutral'}","Hello lovely people, I want to introduce to you something that can go a long way in changing your financial status to a very comfortable state. What I'm introducing to you is a business that requires every partaker to be zealous about it, and it is very easy to do. It is known as network marketing, I know that the mention of the name network marketing has already turned you off because I know many people are not interested and think it is all scam.",65654bb65a81489784483bf0,,I agree,3.0,Neutral,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}",wassup guys & gals ??? ; m interested in making a pen friend....preferably from some Third World country..can neone help ? ;,65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,This is an attention check. Please select 'Very Masculine (5)' and '1: Not Confident. You were unsure or found the text ambiguous',65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 3, 'label': 'Moderately Confident. You felt reasonably sure of your judgment but had some doubts', 'full': '3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts'}",Emotional ,"{'numeric': 1, 'label': 'Very Feminine'}","You can shine, no matter what you're made of. Never give up in your doings. Keep faith and hope alive, and all your dreams and aspirations will become a reality one day!
Don't believe everything you hear or see. There are always 3 sides to every story: yours, theirs and the truth!
In life you will face lot of challenges and uphill battles that will try to stop you from achieving your dreams. Difficulties will arise that will make you stumble but don't let those difficulties make you crumble. Just be strong. Trials will knock you down but you can choose to get back up.",65654bb65a81489784483bf0,,I agree,1.0,Very Feminine,3.0,Moderately Confident. You felt reasonably sure of your judgment but had some doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}","I gave myself a break, just ride in the matt, no pressure and read the new book. Playing Michael Jackson on Mental FM, the song I am jamming to is Bad. I love that video and when the guy with the skates pulls the moonwalk......... We get to tao chic stands up and baaam! moon beam!!!!",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,,"If you enjoy nature and don't mind getting your hands dirty, then gardening is something you would want to take up. Though gardening is a very popular hobby, it can occasionally be physically grueling. Should you be the type of nature admirer, who wants to just enjoy the beauty of nature that already exists, this is a hobby not for you. If you would like to contribute to nature, it's going to be an ideal hobby to enjoy. If you do not would like to put the effort and time, then gardening is not a hobby for you to do.
",65654bb65a81489784483bf0,,I agree,,,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,"life's awsome when yur having fun and happy...but is it really all that worth it in the end?.... my answer to that is no.. and ill tell you why these 2 past years ive changed alot. I havent focused on God enuff, ive been just trying to live the life that everyone expects a teenage gurl to live. Hanging out with different people, some good and some bad, haveing fun and joking around...",65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}",":'-(
urlLink The Science Fiction Museum and Hall of Fame How cool is that? A museum dedicated to Science Fiction. And it's in the city I live in too. Money is tight...but I might just have to become a urlLink member of this museum.
",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}","I can't breath or nothing... going to the doctor..... I hate this crap.... ah well... soemtimes, you gotta deal with it...
I have been sick for the past couple of days.. while, it has been raining the last couple of days... Coincidence?? hmmmm....",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,"Tonight I headed home on the bus and started to reflect on things, after a pretty good evening with one of my friends. I don't know what it is about the bus or the skytrain, but I always start to think about things when I am on either one of them. The same thing occurs when i go for long walks.",65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,"{'numeric': 1, 'label': 'Very Feminine'}",hey diary ... today did nothing much in the office .. still waiting for ma visa to go uk .. hmm the news that i heard three weeks ago about me being booked for a job in uk (leeds to be precise) has gone from on cloud nine to shit might not be going ... the september 11 really has gave a lot of effects to ma working life .. been rejected a working visa to new york just because i got a 'bin' in the middle of ma name ...,65654bb65a81489784483bf0,,I agree,1.0,Very Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Facts ,"{'numeric': 4, 'label': 'Somewhat Masculine'}","So, last Friday on my birthday, my cat turned 11. Yes, his birthday falls on my birthday. Anyway, the part of how smart my cat is that I mentioned a couple of days ago. My cat came and got me because he wanted food, which is no different from any other time. I have an understanding with him that if there's significant food in his plate, he doesn't get any more (unless I'm leaving for the day or something — I'm not a total ogre);",65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Somewhat emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}","I am like sooo out of it today...i called alex at like 9:30 last night, and we talked until like 2 something in the morning...five hours of my non~stop babble, i don't understand how he puts up with it…",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,"OMG i havn't writen in a long time. i'm at my grandmas and bored. so there. more later
lately i have been desprately lonely. i don't know why. i just keep thingking why don't i have more friends? why do i thinkinh that everyone has been up to fun stuff w/ out me? i'm probably just paranoied.",65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",,"{'numeric': 2, 'label': 'Somewhat Feminine'}","okay, so apparently flogging molly is coming to philly august 6, 2004. they're going to be at the tweeter center i think... omfg if i don't get tickets, i will flippppppppp...and howard shore (lord of the rings music composer) is coming july 13? or something... i want to see that too... dammit, i want to see a lot of people this summer... annie lennox and sting are coming june 23, i think.. ahh, someone buy me flogging molly tickets... i don't think they're on sale yet.. they better not be... GRRR",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",,"{'numeric': 2, 'label': 'Somewhat Feminine'}","Hey! It's me again!!! I'm kinda bored eh. So mind as well write something in my blog. :) Uhm, Classes are fast-approaching. I'm excited about being a Campus Minister. Yeah!!!. But I don't want to wake up early!!! I'm looking forward in this school year.",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 3, 'label': 'Moderately Confident. You felt reasonably sure of your judgment but had some doubts', 'full': '3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts'}",Emotional ,"{'numeric': 1, 'label': 'Very Feminine'}","NO!!!!!!!!!!!Diana didn't win!!!!!!!!!!!(sob! )I have to admit that i am a Diana DeGarmo fan. Diana DeGarmo rocks!She is .Her is just great.I even named my neopet after her!(chuckle! ) This is DiAnA_dE_gArMo. I liked Diana when I saw her singing,'My Heart Will Go On' .",65654bb65a81489784483bf0,,I agree,1.0,Very Feminine,3.0,Moderately Confident. You felt reasonably sure of your judgment but had some doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Somewhat emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}","aw man! for a while there i thought i was actually going to have a relationship for real . after all those pseudo-relationships, i was beginning to warm up to the idea of stabilizing my commitment potential. well, it ended as swiftly as it began.",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,"Insomnia is a bitch. I woke up at approximately 3:00 am and now it's 5:00 am. The big question - Do I bother to try to go to sleep again when I have to get up in a couple of hours anyway?? My usual pattern is that I'll fall into my eventual slumber, say 45 minutes before I have to wake up. I don't know why, but that 45 minutes is a very restful sleep. It's like the sleep fairies are teasing me by giving me a little snippet of the sleep I'm missing only to pluck it away right from under me. Curses to them!",65654bb65a81489784483bf0,,I agree,,,,
